"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Проверка ленты заказов»","5","0","","0"
"0","","0","Тест восстановления пароля","3","0","","0"
"0","","0","","6","0","Проверка основного функционала","0"
"0","","0","Test user account","3","0","","0"
